job_id,industry_id
3814622463,15
3814718920,96
3815516618,42
3815516618,43
3817046810,3207
3817187607,43
3818245126,43
3818245126,46
3818245126,41
3818301165,2401
3819580702,124
3819779742,36
3819779742,82
3820026329,96
3821191540,50
3822107170,67
3822148606,96
3824186421,14
3824798473,1594
3825195419,14
3825505593,33
3825758780,3222
3827211746,96
3827216695,4
3827216707,96
3827229781,27
3827274313,4
3827925218,104
3827953220,96
3828087366,4
3828973395,13
3829279884,4
3829448686,18
3829448686,1359
3830207885,96
3830233916,43
3830455330,96
3831094248,3200
3831227827,48
3831227827,135
3831227827,51
3831227902,49
3831227923,59
3831227983,1810
3831227984,1810
3831227985,1810
3831227986,1810
3831227987,1810
3831227989,27
3831227990,27
3831227991,27
3831228794,88
3831228914,104
3831228915,1810
3831228916,1810
3831228917,1810
3831228919,27
3831228920,27
3831228921,27
3831228948,53
3831228959,135
3831228960,135
3831228962,135
3831228963,135
3831228964,135
3831228965,135
3831228967,135
3831228969,135
3831228975,135
3831228976,135
3831228980,42
3831228981,42
3831228982,42
3831228984,104
3831229776,19
3831229794,91
3831229794,18
3831229794,27
3831229842,1810
3831229843,1810
3831229844,1810
3831229845,1810
3831229847,27
3831229848,27
3831229849,27
3831229850,27
3831229880,135
3831229881,135
3831229882,135
3831229888,135
3831229890,135
3831229891,135
3831229892,135
3831229893,135
3831229895,135
3831229897,135
3831229960,15
3831229960,12
3831229991,15
3831229991,12
3831230367,1042
3831230643,14
3831230656,59
3831230666,135
3831230667,135
3831230708,49
3831230713,75
3831230715,19
3831230788,104
3831230789,104
3831230792,1810
3831230793,1810
3831230794,1810
3831230795,1810
3831230796,1810
3831230799,27
3831230800,27
3831230801,27
3831230802,27
3831230803,27
3831230815,53
3831230817,106
3831230825,135
3831230831,135
3831230832,135
3831230835,42
3831230838,104
3831230839,14
3831230885,75
3831230900,15
3831230900,12
3831230912,3190
3831230916,15
3831230916,12
3831230945,47
3831230945,43
3831230945,11
3831230946,4
3831230952,48
3831230954,27
3831230959,4
3831230962,116
3831230963,4
3831230964,4
3831230965,4
3831230966,4
3831230968,4
3831230969,4
3831230970,4
3831230971,4
3831230975,4
3831230976,4
3831230977,4
3831230978,4
3831230981,4
3831230986,4
3831230987,14
3831230989,15
3831230989,12
3831230992,4
3831231697,59
3831231710,135
3831231770,59
3831231845,104
3831231846,104
3831231851,1810
3831231852,1810
3831231853,1810
3831231854,1810
3831231857,27
3831231858,27
3831231862,82
3831231878,135
3831231879,135
3831231881,135
3831231887,135
3831231888,135
3831231890,135
3831231891,135
3831231892,135
3831231897,42
3831231900,104
3831231901,104
3831231902,104
3831231969,54
3831231969,135
3831231969,70
3831231997,27
3831231998,42
3831232521,59
3831232536,135
3831232643,104
3831232644,104
3831232647,1810
3831232648,1810
3831232649,1810
3831232650,1810
3831232653,27
3831232654,27
3831232655,27
3831232678,53
3831232683,135
3831232684,135
3831232687,135
3831232690,135
3831232691,135
3831232692,135
3831232693,135
3831232695,135
3831232700,104
3831232702,14
3831232704,104
3831232707,104
3831232751,15
3831232751,12
3831232754,15
3831232754,12
3831232755,15
3831232755,12
3831232771,15
3831232771,12
